Year,Month,TotalPopulation,TotalUnemployed,TotalEmployed,UnemploymentRate,EmploymentRate
2000,January,2112,177,1935,8.4,91.7
2000,April,2195,249,1946,11.4,88.7
2000,July,2151,215,1936,10,90.1
2000,October,2181,192,1989,8.9,91.2
2001,January,2266,231,2035,10.2,89.9
2001,April,2461,308,2153,12.6,87.5
2001,July,2348,242,2106,10.4,89.7
2001,October,2364,224,2140,9.5,90.6
2002,January,1720,231,1489,13.5,86.6
2002,April,1844,308,1536,16.8,83.3
2002,July,1755,242,1513,13.8,86.3
2002,October,1741,224,1517,12.9,87.2
2003,January,1655,144,1511,8.8,91.3
2003,April,1727,180,1547,10.5,89.6
2003,July,1703,190,1513,11.2,88.9
2003,October,1739,153,1586,8.8,91.3
2004,January,1764,189,1575,10.8,89.3
2004,April,1823,193,1630,10.6,89.5
2004,July,1769,178,1591,10.1,90
2004,October,1784,155,1629,8.7,91.4
2005,January,1726,148,1578,8.6,91.5
2005,April,1817,192,1625,10.6,89.5
2005,July,1780,164,1616,9.3,90.8
2005,October,1812,157,1655,8.7,91.4
2006,January,1753,160,1593,9.2,90.9
2006,April,1849,212,1637,11.5,88.6
2006,July,1753,104,1649,6,94.1
2006,October,1715,95,1620,5.6,94.5
2007,January,1728,129,1599,7.5,92.6
2007,April,1736,88,1648,5.1,95
2007,July,1772,117,1655,6.7,93.4
2007,October,1723,37,1686,2.2,97.9
2008,January,1802,111,1691,6.2,93.9
2008,April,1788,113,1675,6.4,93.7
2008,July,1757,83,1674,4.8,95.3
2008,October,1818,78,1740,4.3,95.8
2009,January,1744,101,1643,5.8,94.3
2009,April,1821,113,1708,6.3,93.8
2009,July,1833,103,1730,5.7,94.4
2009,October,1851,110,1741,6,94.1
2010,January,1830,109,1721,6,94.1
2010,April,1803,114,1689,6.4,93.7
2010,July,1838,108,1730,5.9,94.2
2010,October,1869,114,1755,6.1,94
2011,January,1902,111,1791,5.9,94.2
2011,April,1891,102,1789,5.4,94.7
2011,July,1903,110,1793,5.8,94.3
2011,October,2020,93,1927,4.7,95.4
2012,January,2023,127,1896,6.3,93.8
2012,April,1975,127,1848,6.5,93.6
2012,July,2029,129,1900,6.4,93.7
2012,October,1948,94,1854,4.9,95.2
2013,January,1980,125,1855,6.4,93.7
2013,April,1975,127,1848,6.5,93.6
2013,July,2029,129,1900,6.4,93.7
2013,October,1948,94,1854,4.9,95.2
2014,January,2128,138,1990,6.5,93.6
2014,April,2075,104,1971,5.1,95
2014,July,2041,127,1914,6.3,93.8
2014,October,2066,114,1952,5.6,94.5
2015,January,2066,125,1941,6.1,94
2015,April,2036,121,1915,6,94.1
2015,July,2010,113,1897,5.7,94.4
2015,October,2057,113,1944,5.5,94.6
2016,January,,,,,
2016,April,,,,,
2016,July,2132,91,2041,4.3,95.8
2016,October,,,,,
2017,January,,,,,
2017,April,,,,,
2017,July,,,,,
2017,October,,,,,
2018,January,,,,,
2018,April,,,,,
2018,July,,,,,
2018,October,,,,,
2019,January,,,,,
2019,April,,,,,
2019,July,2132,70,2062,3.3,96.8
2019,October,,,,,
2020,January,,,,,
2020,April,1966,351,1615,17.9,82.2
2020,July,,,,,
2020,October,,,,,
